Date,Week,Tm,,Opp,Result,Qtr,Time,LOS,Play Summary,Punt distance (gross),Pts,Downed method,Pts,Punt ended at,Pts,Bonus,Pts,TUPA score,,TUPA Scoring Key,Points
2021-12-20,15,OAK,@,CLE,W 16-14,1,0:46,Own 4,91 TUPA = Dustin Colquitt of the Browns punts 51 yards (51) out of bounds (20) at the 4-yard line (20). ,51,51, Out of bounds / Coffin corner,20,4,20,None,0,91,,,
2022-01-02,17,MIA,@,TEN,L 34-3,3,9:31,Own 2,91 TUPA = Brett Kern of the Titans punts 46 yards (46) downed by Nick Westbrook-Ikhine (5) at the 2-yard line (40).,46,46,Caught on the bounce,5,2,40,None,0,91,,,
2021-09-19,2,MIN,@,ARI,L 34-33,4,10:23,Own 2,Andy Lee of the Cardinals punts 60 yards (60). Returned by Dede Westbrook for -4 yards (-10). Tackled by Darrell Daniels at the 2-yard line (40).,60,60,Returned by the other team,-10,2,40,None,0,90,,4-yard line ,20
2022-01-09,18,NWE,@,MIA,L 33-24,4,0:03,Own 2,90 TUPA = Michael Palardy of the Dolphins punts 45 yards (45) downed by Blake Ferguson (5) at the 2-yard line (40).,45,45,Touched on the ground,5,2,40,None,0,90,,,
2021-12-12,14,SEA,@,HOU,W 33-13,1,3:03,Own 3,89 TUPA = Cameron Johnston of the Texans punts 54 yards (54) downed by A.J. Moore (5) at the 3-yard line (30).,54,54,Touched on the ground,5,3,30,None,0,89,,,
2021-12-12,14,LAC,,NYG,W 37-21,2,2:04,Own 4,88 TUPA = Riley Dixon of the Giants punts 63 yards (63) downed by Keion Crossen (5) at the 4-yard line (20).,63,63,Caught on the bounce,5,4,20,None,0,88,,,
2022-01-09,18,NYJ,@,BUF,L 27-10,3,0:30,Own 2,88 TUPA = Matt Haack of the Bills punts 43 yards (43) downed by Taiwan Jones (5) at the 2-yard line (40).,43,43,Touched on the ground,5,2,40,None,0,88,,,
2021-12-19,15,MIA,,NYJ,W 31-24,2,0:21,Own 3,87 TUPA = Braden Mann of the Jets punts 52 yards (52) downed by Vyncint Smith (5) at the 3-yard line (30).,52,52,Caught on the bounce,5,3,30,None,0,87,,,
2021-10-03,4,PIT,@,GNB,L 27-17,1,4:10,Own 4,Corey Bojorquez of the Packers punts 36 yards (36) downed by Malik Taylor (5) at the 4-yard line (20) with an assist by Isaac Yiadom (25).,36,36,Touched on the ground,5,4,20,Batted back out of the end zone,25,86,,Bonus:,
2021-12-12,14,HOU,,SEA,L 33-13,2,1:56,Own 2,86 TUPA = Michael Dickson of the Seahawks punts 41 yards (41) downed by Penny Hart (5) at the 2-yard line (40).,41,41,Caught on the bounce,5,2,40,None,0,86,,,
2021-10-24,7,KAN,@,TEN,L 27-3,4,4:24,Own 3,Brett Kern of the Titans punts 49 yards (49) downed by Nick Westbrook-Ikhine (5) at the 3-yard line (30). ,49,49,Touched on the ground,5,3,30,None,0,84,,,
2021-11-18,11,ATL,,NWE,L 25-0,1,11:43,Own 4,Jake Bailey of the Patriots punts 44 yards out of bounds at the 4-yard line.,44,44, Out of bounds / Coffin corner,20,4,20,None,0,84,,,
2021-12-19,15,TAM,,NOR,L 9-0,4,4:59,Own 3,84 TUPA = Blake Gillikin of the Saints punts 49 yards (49) downed by J.T. Gray (5) at the 3-yard line (30).,49,49,Caught on the bounce,5,3,30,None,0,84,,,
2021-09-19,2,ATL,@,TAM,L 48-25,4,13:04,Own 4,Bradley Pinion of the Buccaneers punts 57 yards (57) downed by Andrew Adams (5) at the 4-yard line (20).,57,57,Caught on the bounce,5,4,20,None,0,82,,3-yard line ,30
2021-10-10,5,MIN,,DET,W 19-17,3,4:29,Own 5,Jack Fox of the Lions punts 67 yards (67) downed by Bobby Price (5) at the 5-yard line (10).,67,67,Touched on the ground,5,5,10,None,0,82,,Total Points:,
2021-11-07,9,RAM,,TEN,L 28-16,2,14:03,Own 4,Brett Kern of the Titans punts 57 yards (57) downed by Dane Cruikshank (5) at the 4-yard line (20).,57,57,Caught on the bounce,5,4,20,None,0,82,,,
2021-12-20,15,MIN,@,CHI,W 17-9,3,4:02,Own 4,"82 TUPA = Pat O'Donnell of the Bears punts 72 yards (72), returned by K.J. Osborn for 2 yards (-10). Tackled by Dee Virgin at the 4-yard line (20).",72,72,Returned by the other team,-10,4,20,None,0,82,,,
2021-10-03,4,CHI,,DET,W 24-14,2,0:34,Own 4,Jack Fox of the Lions punts 56 yards (56) downed by KhaDarel Hodge (5) at the 4-yard line (20).,56,56,Touched on the ground,5,4,20,None,0,81,,Caught on the bounce,5
2021-11-07,9,HOU,@,MIA,L 17-9,4,0:27,Own 2,Michael Palardy of the Dolphins punts 36 yards (36) downed by Mack Hollins (5) at the 2-yard line (40).,36,36,Caught on the bounce,5,2,40,None,0,81,,,
2022-01-16,WC,SFO,@,DAL,W 23-17,2,0:22,Own 3,81 TUPA = Bryan Anger of the Cowboys punts 46 yards (46) downed by Sean McKeon (5) at the 3-yard line (30).,46,46,Touched on the ground,5,3,30,None,0,81,,,
2021-10-17,6,IND,,HOU,W 31-3,2,0:04,Own 4,Cameron Johnston of the Texans punts 55 yards (55) downed by A.J. Moore (5) at the 4-yard line (20).,55,55,Caught on the bounce,5,4,20,None,0,80,,,
2021-10-31,8,HOU,,RAM,L 38-22,4,1:52,Own 2,Johnny Hekker of the Rams punts 35 yards (35) downed by Ben Skowronek (5) at the 2-yard line (40). ,35,35,Touched on the ground,5,2,40,None,0,80,,,
2021-12-23,16,TEN,,SFO,W 20-17,4,9:24,Own 3,80 TUPA = Mitch Wishnowsky of the 49ers punts 40 yards (40) caught on the fly by Trent Sherfield (10) at the 3-yard line (30).,40,40,Caught on the fly by your own team,10,3,30,None,0,80,,,
2021-09-19,2,OAK,@,PIT,W 26-17,3,1:43,Own 3,Pressley Harvin of the Steelers punts 42 yards (42) downed by Arthur Maulet (5) at the 3-yard line (30).,42,42,Touched on the ground,5,3,30,None,0,77,,Between the 10- and 19-yard line,5
2021-10-03,4,BAL,@,DEN,W 23-7,1,2:23,Own 4,Sam Martin of the Broncos punts 57 yards (57). Fair caught by Devin Duvernay (0) at the 4-yard line (20).,57,57,Fair caught by the other team,0,4,20,None,0,77,,Punted by a kicker,5
2021-10-07,5,RAM,@,SEA,W 26-17,3,11:03,Own 4,Michael Dickson of the Seahawks punts 51 yards (51) downed on the ground by Ben Burr-Kirven (5) at the 4-yard line (20).,51,51,Touched on the ground,5,4,20,None,0,76,,Batted back out of the end zone,25 each
2021-12-09,14,PIT,@,MIN,L 36-28,4,2:16,Own 4,76 TUPA = Jordan Berry of the Vikings punts 51 yards (51) downed by Troy Dye (5) at the 4-yard line (20).,51,51,Touched on the ground,5,4,20,None,0,76,,,
2021-12-19,15,DEN,,CIN,L 15-10,2,8:01,Own 5,76 TUPA = Kevin Huber of the Bengals punts 61 yards (61) downed by Stanley Morgan (5) at the 5-yard line (10).,61,61,Caught on the bounce,5,5,10,None,0,76,,,
2022-01-23,DIV,TAM,,RAM,L 30-27,3,11:51,Own 5,76 TUPA = Johnny Hekker of the Rams punts 46 yards (46) out of bounds (20) at the 5-yard line (10).,46,46, Out of bounds / Coffin corner,20,5,10,None,0,76,,,
2021-09-26,3,ATL,@,NYG,W 17-14,3,6:18,Own 5,Riley Dixon of the Giants punts 34 yards (34) downed by Keion Crossen (5) at the 5-yard line (10) after batting the punt out of the end zone (25).  ,34,34,Touched on the ground,5,5,10,Batted back out of the end zone,25,74,,Downed How:,
2021-09-26,3,ATL,@,NYG,W 17-14,3,6:18,Own 5,Riley Dixon of the Giants punts 34 yards (34) downed by Keion Crossen (5) at the 5-yard line (10) after batting the punt out of the end zone (25).  ,34,34,Touched on the ground,5,5,10,Batted back out of the end zone,25,74,,Returned by the other team,-10
2021-10-31,8,DAL,@,MIN,W 20-16,1,3:50,Own 5,Jordan Berry of the Vikings punts 44 yards (44) out of bounds (20) at the 5-yard line (10).,44,44, Out of bounds / Coffin corner,20,5,10,None,0,74,,,
